,full_text
60,"['bicara', 'sesuai', 'fakta', 'anies', 'lantang', 'sebut', 'lampung', 'mempunyai', 'alat', 'pemantau', 'polusi', 'udara', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', '100m', 'views', 'pilihan', 'terbaik']"
61,"['sindir', 'anies', 'baswedan', 'apbd', 'paling', 'besar', 'kok', 'mas', 'anies', 'gagal', 'memimpin', 'jakarta', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', '100m', 'views', 'pilihan', 'terbaik']"
62,"['anies', 'bagus', 'sebenernya', 'kuncinya', 'sih', 'ka', 'belakang', 'jg', 'ga', 'ngapa2in', 'kalau', 'aniesnya', 'busuk', 'baru', 'bahaya', 'kalau', 'presiden', 'skrg', 'ga', 'berani', 'komen', 'kasar', 'khawatir', 'knp2']"
63,"['gak', 'layak', 'jadi', 'presiden', 'pantesan', 'gak', 'pernah', 'menang', 'dulu', 'dukung', 'hanya', '2', 'pilihan', 'sekarang', 'anies', 'paling', 'layak', 'semuanya']"
64,"['dulu', 'sih', '2', 'kali', 'milih', 'sekarang', 'sih', 'udah', 'makin', 'yakin', 'pilih', 'anies']"
65,"['anies', 'baswedan', 'dituding', 'capres', 'banyak', 'janji', 'timnas', 'amin', 'janji', 'terukur']"
66,"['anies', 'baswedan', 'dituding', 'capres', 'banyak', 'janji', 'timnas', 'amin', 'janji', 'terukur']"
67,"['wkwkwk', 'pendukung', 'anies', 'kek', 'gini']"
68,"['waktu', 'debat', 'perdana', 'pak', 'anies', 'menunjukkan', 'politisi', 'intelek', 'setelan', 'jas', 'peci']"
69,"['disampaikan', 'kiky', 'malah', 'bagus', 'kok', 'justru', 'memuji', 'anies']"
70,"['terlihat', 'debat', 'anies', 'selalu', 'memilikikemampuan', 'merancang', 'menerapkan', 'solusisolusi', 'kreatif']"
71,"['selama', 'debat', 'anies', 'memiliki', 'banyak', 'solusi', 'mengenai', 'masalah', 'ketimpangan', 'terjadi', 'indonesia']"
72,"['bicara', 'sesuai', 'fakta', 'anies', 'lantang', 'sebut', 'lampung', 'mempunyai', 'alat', 'pemantau', 'polusi', 'udara', 'gacoan', 'anies', 'gempa', 'daesang', 'pagii', 'batter', 'up', '100m', 'views', 'pilihan', 'terbaik']"
